0,1000622
1,1000800
2,998777
3,998011
4,1000594
5,1001307
6,999528
7,999311
8,999132
9,999084
10,998534
11,999619
12,999720
13,1000076
14,999231
15,1001193
16,998245
17,1000041
18,1001346
19,1000763
20,1001623
21,999181
22,1000852
23,999217
24,1001563
25,1000058
26,1001625
27,999923
28,1000407
29,999808
30,999888
31,999091
32,998911
33,999913
34,998977
35,999374
36,1000026
37,999463
38,1001070
39,1000130
40,1001662
41,1000423
42,998367
43,1000884
44,1000182
45,1000949
46,1000118
47,1000025
48,999448
49,999474
50,1000084
51,1000322
52,1000529
53,999101
54,999317
55,999518
56,1000783
57,999161
58,999888
59,999855
60,1000722
61,998839
62,999166
63,1001081
64,1000059
65,1001778
66,1001051
67,998246
68,999520
69,1000809
70,998823
71,1000684
72,1000769
73,1000072
74,1000587
75,999122
76,1001274
77,1000076
78,1000222
79,999744
80,1001788
81,1000748
82,999133
83,999571
84,999923
85,998785
86,998879
87,1000227
88,1001506
89,1001336
90,999505
91,999627
92,999432
93,1000461
94,1000436
95,999336
96,999661
97,999972
98,999612
99,998797
100,1000281
101,998533
102,1001318
103,1000979
104,999705
105,999531
106,998381
107,1000931
108,1000968
109,1001321
110,1000375
111,1000599
112,999821
113,1000668
114,1000915
115,999739
116,998620
117,1000686
118,1000755
119,1000289
120,998760
121,1000384
122,1000484
123,1000372
124,999162
125,999899
126,998925
127,1000218
128,999608
129,997487
130,999687
131,1000342
132,999960
133,998679
134,1002139
135,999010
136,999798
137,999864
138,1001056
139,999815
140,1000160
141,1000301
142,1000907
143,1001804
144,998991
145,999122
146,1000429
147,1000763
148,1002106
149,999157
150,1000803
151,1000208
152,1001034
153,1000955
154,1000060
155,1001515
156,998590
157,1000127
158,999881
159,998826
160,1000906
161,998846
162,1000556
163,1000011
164,1000146
165,1001194
166,1000490
167,1000093
168,1000470
169,1001457
170,1000599
171,1001605
172,999553
173,1001040
174,999852
175,998760
176,1000753
177,1000179
178,998554
179,999488
180,999196
181,999545
182,999334
183,998069
184,999810
185,998411
186,1000893
187,1001028
188,1000337
189,1001335
190,998872
191,999811
192,999233
193,998981
194,1000968
195,1001422
196,1002195
197,1001228
198,1000400
199,1000321
200,999839
201,999450
202,999325
203,1000188
204,999303
205,999883
206,1000341
207,998240
208,998997
209,998369
210,999822
211,998530
212,999449
213,1001179
214,1000767
215,1001592
216,998895
217,1000594
218,1000601
219,999519
220,1001218
221,998928
222,1000439
223,1001114
224,998675
225,1000912
226,1000110
227,999863
228,998724
229,1000503
230,1000719
231,1000837
232,1000319
233,1000651
234,999782
235,1001078
236,998780
237,1001419
238,1001509
239,1000418
240,999861
241,1001888
242,1000355
243,1001655
244,998631
245,1000854
246,1000828
247,1000175
248,1002608
249,1000704
250,1000533
251,1000602
252,1000455
253,999860
254,999625
255,999474
256,999685
257,999660
258,998353
259,1001005
260,1000736
261,999861
262,1000766
263,999692
264,1000711
265,1000039
266,1000897
267,999762
268,1000724
269,1001109
270,1001141
271,1000038
272,1002072
273,999197
274,1001671
275,1000199
276,1000120
277,999734
278,1000741
279,999998
280,1002265
281,999001
282,1001794
283,1001422
284,999578
285,999401
286,998811
287,999599
288,1001875
289,1000451
290,999574
291,1000438
292,1001253
293,1000712
294,1000113
295,999593
296,1001123
297,1001123
298,999057
299,999433
300,1000126
301,1000144
302,999651
303,1000723
304,999816
305,998352
306,1000132
307,1000747
308,998873
309,998379
310,999031
311,1000131
312,998024
313,999244
314,1000216
315,998130
316,999775
317,997524
318,999481
319,998761
320,999139
321,1000269
322,1000343
323,999455
324,999957
325,999395
326,998400
327,999631
328,1001136
329,1000516
330,999678
331,1001502
332,999910
333,999458
334,1000706
335,998680
336,1001865
337,1000091
338,1001464
339,1000850
340,1000403
341,1000137
342,1000966
